RowName,23-Crude tail,33-LN NK,30-LN Treg,45-Meiosis II(MII),44-Pachytene/Diplotene(P/D),46-Round spermatid(RS),42-Spermatogonia,32-Spleen CD4 effector/memory(E/M),41-Spleen CD4 naive,37-Spleen CD8 central memory(CM),38-Spleen CD8 effector/memory(E/M),40-Spleen CD8 naive,34-Spleen NK,31-Spleen Treg,25-Tail epidermis,16-Tail skin dermis,39-Whole blood,13-Brown fat(bFat),05-Cerebral cortex,17-Ear lobe,01-Eyeball,03-Cerebellum(flocculus),10-Heart,04-Hippocampal formation,06-Hypothalamus,21-Kidney,26-Large intestine(basal layer),29-Large intestine(epithelium),22-Liver,18-Lung,35-LN,43-Leptotene/Zygotene(L/Z),14-Mesenteric fat(mFat),11-Muscle,07-Brain stem,08-Olfactory bulb,09-Optic nerve,15-Salivary gland,20-Skin,27-Small intestine(basal layer),28-Small intestine(epithelium),36-Spleen,12-Thyroid gland,24-Tongue,19-Perigonadal fat(pFat),02-Cerebellum(central part)
09-Adat1,0.79168568,0.731608873,0.800631067,1,0.790018323,1,0.871436086,0.712170168,0.643874015,0.640322815,0.655443296,0.632200523,0.618929218,0.831650298,0.915941346,0.871632559,0.642754232,1,0.783692126,0.876232538,0.798695111,0.707372094,1,0.743341705,0.811404408,0.951819105,0.910698264,0.791837653,0.978217311,0.964777265,0.732764961,0.85772704,0.998690168,0.911182433,0.785202747,0.797743904,0.863851307,0.921684546,0.922065378,0.847148794,0.840257192,0.692912466,0.877570048,0.85566465,1,0.766531544
49-Adat2,0.727033629,0.157925412,0.279283102,0.320032538,0.270870706,0.212615119,0.318114403,0.184543413,0.114913494,0.199236397,0.127056743,0.165009672,0.109038043,0.208721059,0.531170513,0.835490986,0.151547454,0.777880907,0.887358936,0.767973029,0.941046296,1,0.77479445,0.931843356,0.960366892,0.71261565,0.44192199,0.26662608,0.614924427,0.462737855,0.216497577,0.326816131,0.643517612,0.787709452,0.900939557,0.929490272,0.762182553,0.714685054,0.628447724,0.437249487,0.281675502,0.140418449,0.672769259,0.478183905,0.538108516,1
71-Adat3,0.322500707,0.009426507,0.053822536,0.032228308,0.040044207,0,0.09398908,0.031360908,0.010790277,0.031020535,0.017041971,0.014030193,0.01185863,0.02544883,0.147702727,0.559851361,0.043038317,0.448374809,0.765161927,0.430784786,1,0.949816502,0.461198814,0.672414596,0.651358919,0.293831401,0.249913009,0.106981293,0.171734035,0.199007198,0.063414661,0.061574896,0.447302377,0.479578739,0.675745192,0.554792851,0.546604951,0.34658206,0.229150214,0.195951998,0.109922805,0.055604224,0.3670137,0.234345157,0.271406249,1
31-Alkbh3-1,0.51836228,0.501620606,0.422995149,0.242970945,0.256521232,0.23378714,0.229590534,0.474925231,0.344637852,0.427786447,0.486305772,0.358336247,0.617202934,0.454197893,0.386103316,0.547189372,0.368983186,0.651572478,1,0.64270287,0.614279229,0.719240797,0.619405909,1,0.752004455,1,0.517138751,0.582049023,0.660727587,0.74824068,0.461955464,0.210254332,0.691250468,0.555412323,0.899950026,0.895375275,0.859797171,0.694016608,0.54279013,0.610378075,0.553358881,0.530429457,0.628618418,0.486394707,0.588073092,0.923968903
26-Alkbh3-2,0.777820378,0.71147079,0.606386355,0.147224908,0.036828823,0.06666357,0.079124657,0.637471455,0.55731331,0.606151254,0.53964535,0.547088362,0.607511569,0.624249361,0.738471135,0.862305954,0.557502321,1,0.939819298,0.769903307,0.960436489,0.859756305,0.977223865,0.845784506,0.941661572,0.901872627,0.779005009,0.578438857,0.89454122,0.902022703,0.667634947,0.118957374,0.988473354,0.922297933,0.890433207,0.950633932,0.820347422,0.923939733,0.950465934,0.637815219,0.679933023,0.634799939,0.961239886,0.680095908,0.87458856,0.87157793
24-Alkbh3-3,0.732183094,0.676810762,0.651182126,0.504177015,0.233412218,0.433265145,0.289572789,0.602685514,0.598188498,0.626395368,0.692585439,0.611528477,0.62360409,0.759217758,0.640886402,0.820308461,0.54817066,0.975018235,0.948098482,0.766859408,0.765775651,0.967256424,0.996033981,1,0.955243698,1,0.703038184,0.60203502,0.982476301,0.920064036,0.707933867,0.27059387,0.847035677,1,1,1,1,0.808853246,0.886110405,0.699507198,0.568491705,0.652512231,0.936744225,0.794412175,0.819861334,1
30-Alkbh5,0.549198917,0.389865992,0.814896546,0.019393839,0.013931682,0.019481187,0.039523212,0.692955071,0.537475322,0.511676191,0.469111688,0.558632763,0.422807038,0.798691355,0.483028744,0.612978042,0.416248906,0.748806705,0.885434431,0.589148823,0.898238297,0.883858008,0.701213655,0.876558696,0.803929981,0.919163396,0.526997524,0.470413586,0.49395562,0.734494652,0.504435968,0.026367438,0.909959065,0.715799318,0.827245797,0.858419641,0.655764174,0.886170376,0.744538331,0.514278062,0.395309844,0.511711864,0.657127288,0.5490322,0.725286677,0.859146444
16-Alkbh8,0.616308119,0.74602915,0.93120368,0.587477856,0.594173266,0.508799339,0.684433802,0.856394825,0.83861064,0.699117971,0.669897124,0.93344376,0.843743038,0.849936983,0.580370508,0.607966034,0.615729065,0.880818454,0.847469154,0.585148874,0.895646801,0.815436714,0.826233301,0.906823326,0.946806186,0.783645317,0.709310025,0.462210686,0.726583739,0.85195827,0.745373429,0.557244174,0.921225747,0.758543557,0.820733156,0.821261337,0.769959863,0.732702728,0.641886799,0.605069806,0.697614581,1,0.840423392,0.550123177,0.750637821,0.791203293
19-Bcdin3d,0.68287981,0.711873797,0.861142341,0.449550581,0.700765734,0.502743234,0.690960132,0.625731799,0.501162335,0.564550382,0.511184852,0.485151453,0.61024699,0.718496123,0.751474361,0.678914816,0.484542816,0.83154039,0.865069183,0.611751291,0.785875032,0.631088059,0.91492277,0.793070282,0.856890566,0.883578741,0.769228678,0.639797834,0.814331123,0.779668966,0.586467214,0.620718876,0.866038699,0.747777446,0.821293754,0.789951148,0.759915246,0.872787246,0.728728679,0.774213907,0.708700711,0.520127047,0.80971886,0.648775427,0.861309227,0.700845898
78-Bud23,0.169520706,0.122295759,0.103001605,0.00314344,0.001904632,0.0009075,0.011342977,0.065964307,0.073458985,0.087285412,0.078840347,0.073808484,0.10701913,0.107750422,0.074233557,0.262831233,0.08371953,0.204521023,0.55073103,0.294976389,0.823902686,0.202663278,0.339811628,0.530167072,0.478795425,0.122897364,0.170249183,0.057260769,0.146939312,0.159503422,0.102267528,0.007000713,0.259653274,0.331245245,0.491299593,0.336290816,0.366227697,0.264456816,0.200757583,0.121740339,0.064122266,0.078662257,0.214754701,0.173935657,0.151888423,0.209285173
